agent_id,agent,role,agent_png
1,Brimstone,Controller,https://www.vlr.gg/img/vlr/game/agents/brimstone.png
2,Viper,Controller,https://www.vlr.gg/img/vlr/game/agents/viper.png
3,Omen,Controller,https://www.vlr.gg/img/vlr/game/agents/omen.png
4,Astra,Controller,https://www.vlr.gg/img/vlr/game/agents/astra.png
5,Harbor,Controller,https://www.vlr.gg/img/vlr/game/agents/harbor.png
6,Clove,Controller,https://www.vlr.gg/img/vlr/game/agents/clove.png
7,Jett,Duelist,https://www.vlr.gg/img/vlr/game/agents/jett.png
8,Phoenix,Duelist,https://www.vlr.gg/img/vlr/game/agents/phoenix.png
9,Reyna,Duelist,https://www.vlr.gg/img/vlr/game/agents/reyna.png
10,Raze,Duelist,https://www.vlr.gg/img/vlr/game/agents/raze.png
11,Neon,Duelist,https://www.vlr.gg/img/vlr/game/agents/neon.png
12,Yoru,Duelist,https://www.vlr.gg/img/vlr/game/agents/yoru.png
13,Iso,Duelist,https://www.vlr.gg/img/vlr/game/agents/iso.png
14,Waylay,Duelist,https://www.vlr.gg/img/vlr/game/agents/waylay.png
15,Sova,Initiator,https://www.vlr.gg/img/vlr/game/agents/sova.png
16,Breach,Initiator,https://www.vlr.gg/img/vlr/game/agents/breach.png
17,Skye,Initiator,https://www.vlr.gg/img/vlr/game/agents/skye.png
18,KAY/O,Initiator,https://www.vlr.gg/img/vlr/game/agents/kayo.png
19,Fade,Initiator,https://www.vlr.gg/img/vlr/game/agents/fade.png
20,Gekko,Initiator,https://www.vlr.gg/img/vlr/game/agents/gekko.png
21,Tejo,Initiator,https://www.vlr.gg/img/vlr/game/agents/tejo.png
22,Sage,Sentinel,https://www.vlr.gg/img/vlr/game/agents/sage.png
23,Cypher,Sentinel,https://www.vlr.gg/img/vlr/game/agents/cypher.png
24,Killjoy,Sentinel,https://www.vlr.gg/img/vlr/game/agents/killjoy.png
25,Chamber,Sentinel,https://www.vlr.gg/img/vlr/game/agents/chamber.png
26,Deadlock,Sentinel,https://www.vlr.gg/img/vlr/game/agents/deadlock.png
27,Vyse,Sentinel,https://www.vlr.gg/img/vlr/game/agents/vyse.png
28,Veto,Sentinel,https://www.vlr.gg/img/vlr/game/agents/veto.png